,time,product url,product name,model no,selling price,discount%,seller,seller raitng,product rating,currency,position,brand,market,,most expensive:,most expensive item:
64,23:09.9,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
65,23:12.1,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
66,23:14.4,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
67,23:15.1,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
68,23:19.9,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
69,23:20.7,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
70,23:21.8,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
71,23:23.1,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
72,23:27.8,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
73,23:32.4,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
74,23:35.8,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
75,23:43.0,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
76,23:44.4,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
